model_name,batch_size,num_nodes,feature_dim,eager_time_ms,eager_std_ms,graph_time_ms,graph_std_ms,speedup,compilation_time_s,eager_memory_mb,graph_memory_mb,memory_overhead_mb
GAT-Small,1,100,64,0.9726343769580126,0.13854439423435294,0.35357652697712183,0.0699292711718715,2.7508454400903903,7.876666300930083,0.00048828125,0.00048828125,0.0
GAT-Small,2,100,64,1.8512883083894849,0.1612006397388873,0.5595968617126346,0.12177662618471642,3.30825355725487,0.6231510709039867,0.00048828125,0.00048828125,0.0
GAT-Small,4,100,64,3.5422072606161237,0.16736971088812752,0.9460384538397193,0.18435411166903934,3.7442529383866407,13.672716503031552,0.00048828125,0.00048828125,0.0
GAT-Small,8,100,64,7.019657124765217,0.17852850641081033,1.527984687127173,0.1459714542661444,4.594062482368959,1.3972114082425833,0.0009765625,0.0009765625,0.0
GAT-Small,16,100,64,13.859086441807449,0.17708853943364186,2.7763216057792306,0.14752696258982867,4.991887976147352,2.6860295101068914,0.001953125,0.001953125,0.0
GAT-Small,32,100,64,27.279614661820233,0.42074043649729864,5.373124978505075,0.18748044583326626,5.077048230024614,5.194859796203673,0.00390625,0.00390625,0.0
GAT-Small,64,100,64,55.549701252020895,0.6887406765910953,10.617464510723948,0.2383878002684946,5.231917770566982,10.417729819193482,0.0078125,0.0078125,0.0
GAT-Medium,1,500,128,1.5966702019795775,0.16987501749839684,1.111389808356762,0.10280867242867993,1.436642832221328,5.472991161979735,0.00048828125,0.00048828125,0.0
GAT-Medium,8,500,128,10.54105939809233,0.2569841614535882,10.845750118605793,0.25930297691039067,0.9719069020416791,0.018186518922448158,0.001953125,0.001953125,0.0
GAT-Medium,32,500,128,41.09302789904177,0.44630809384142217,42.59339053183794,0.5420359850863784,0.9647747546259631,0.045823770109564066,0.0078125,0.0078125,0.0
