model_type,model_name,batch_size,compile_time,compile_mode,baseline_time,baseline_std,compiled_time,compiled_std,speedup,baseline_throughput,compiled_throughput,description,guard_check_time,guard_check_std,recompile_time,recompile_count,guard_failure_rate
vision,deit_base,1,6.2640858781524,default,0.0050018678791821005,0.0001709551394705511,0.004124868474900722,0.00011699387109841288,1.2126126953181182,199.92531273407383,242.43197233678296,DeiT Base - Vision Transformer with distillation,0.004121321253478527,2.458698286380952e-05,2.8154407679103315,1,1.0
vision,deit_base,4,1.701895342906937,default,0.012305272128432989,2.445411060834269e-05,0.01155991779640317,8.02735493812811e-05,1.0644774768434542,325.0639204278515,346.0232218298807,DeiT Base - Vision Transformer with distillation,0.011605990247335284,0.00017570121112472548,1.1612663035048172,2,1.0
vision,deit_base,8,1.721641395939514,default,0.02077541780192405,1.2393231497543846e-05,0.020972128305584193,5.4665011110414e-05,0.99062038431227,385.0704749369279,381.45866186932784,DeiT Base - Vision Transformer with distillation,0.020992075372487307,7.252610634185862e-05,1.1356733925640583,2,1.0
vision,deit_base,16,1.634582867845893,default,0.0393803439475596,1.564701207846122e-05,0.034981540464796124,8.221773569301428e-05,1.1257464200923408,406.2940644019317,457.3840885052416,DeiT Base - Vision Transformer with distillation,0.03496469565434381,1.9703644029242145e-05,1.1439078254625201,2,1.0
vision,deit_base,32,1.9964913101866841,default,0.07234287101309747,2.2037136614892602e-05,0.06690956906415522,0.0002759779091443299,1.0812036607758242,442.33798786070423,478.25745177520554,DeiT Base - Vision Transformer with distillation,0.066486304695718,0.00010377139803759795,2.2958784019574523,1,1.0
vision,swin_base,1,3.84984526806511,default,0.018075917209498586,0.000337282476914759,0.006277618580497801,6.019669590147025e-05,2.879422662863535,55.32222727124005,159.29607496489572,Swin Transformer Base - Hierarchical vision transformer,0.006282225530594587,3.721184694080989e-05,6.362742222147062,1,1.0
vision,swin_base,4,3.704686813056469,default,0.017945720055140554,0.0002471434167877527,0.012271280949935317,0.0001377175389568099,1.4624161999351133,222.89437190090345,325.96434034224313,Swin Transformer Base - Hierarchical vision transformer,0.012194279883988201,7.699561301670999e-05,3.0667425555875525,2,1.0
vision,swin_base,8,3.957392073003575,default,0.024575560027733444,4.9205191916786696e-05,0.02082230565138161,2.0173326756586813e-05,1.180251622427932,325.52666108003336,384.2033698832569,Swin Transformer Base - Hierarchical vision transformer,0.020825763233006,2.8193533789052587e-05,3.1561395620228723,2,1.0
vision,swin_base,16,4.205051915952936,default,0.04537001807242632,2.585861167767644e-05,0.039294236726127564,0.0005018818377886717,1.1546227093974533,352.6557995735959,407.18439478839053,Swin Transformer Base - Hierarchical vision transformer,0.03932977525983006,0.00010997131835568491,3.6823453039396554,2,1.0
vision,swin_base,32,4.151118089212105,default,0.08620655165053905,4.5026373036460234e-05,0.07555766904726624,4.9279369613739185e-05,1.1409371508881678,371.20148512285266,423.5175648415241,Swin Transformer Base - Hierarchical vision transformer,0.07558323182165623,7.795782383062091e-05,6.8537878601346165,1,1.0
